"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
832255066,CAR KWEENS ASSOCIATION
832256295,WOM WOMENS OPPOSITION MOVEMENT
832257729,I AM GIRLS EMPOWERMENT INCORPORATED DANNIESHA L MURPHY SOLE MBR
832259845,VALOR RANCH
832259887,WOMENS EMPOWERMENT SCHOLARSHIP
832262248,WALPOLE GIRLS FIELD HOCKEY INC
832268028,HOPE RECOVERY MANOR INC
832268060,SHAKTITVA FOUNDATION
832268439,LOVE PEOPLE NOT PIXELS INC
832268948,PRAXIS ADVOCATES
832273606,BAD BETTIE PROJECT
832277574,WOMEN OF COURAGE MISSION INC
832277860,AAUW GAYLORD EDUCATION PROGRAM
832278812,WOMEN RUN WYNWOOD INC
832281195,DALLAS INSTITUTE FOR IMMIGRANT WOMEN
832282388,GFWC TAMPABAY WOMENS CLUB
832286437,HELPING HUMANS INC
832286482,PREGNANT CARE CHARITIES INC
832286681,OES WOMEN OF DESTINY
832287299,TREASURED SISTER SOBER LIVING
832287440,RAY OF HOPE FOR OVARIAN CANCER CURE INC RAY OF HOPE
832288171,NATIONAL CHARITY LEAGUE INC ELEVATION CHAPTER
832290974,GIRLIAS GIRLS FOUNDATION INC
832291564,IMPACT WOMEN
832292357,MOTHER TO MOTHER POSTPARTUM PROJECT
832293313,LADIES OF LIFE MINISTRY
832293902,PUEBLO BREASTFEEDING COALITION
832295113,DORIS J HUNT MEMORIAL SCHOLARSHIP THE WOMEN
832297130,NEW LEGACY HOME FOR WOMEN
832298273,MOTHERS OF INCARCERATED SONS
832298292,LA LECHE LEAGUE OF THE UNITED STATES OF AMERICA LLL PINES AND PALMETTOS ALLIANCE
832298441,ARIZONA WOMEN IN HIGHER EDUCATION AWHE
832298893,WOMEN OF COLOR UNITE
832301771,NATIONAL ASSOCIATION OF NEGRO BUSIN ESS AND PROFESSIONAL WOMENS C GREATER ATLANTIC CLUB
832304887,DINAHS VOICE INC
832307885,PAROWAN ANIMAL ASSISTANCE LEAGUE PAAL
832308026,WOMANS CLUB OF HODGENVILLE INC
832314411,GIRLS CREATE
832315697,LIBERTY HILL GIRLS SOCCER BOOSTER CLUB INC
832316363,NEXT STEP WOMEN
832319443,PARENT BOOSTER CLUB INC EVERGREEN GIRLS LACROSSE INC
832323063,NATIONAL COUNC OF NEGRO WOMEN INC NC030 N CAROLINA A T STATE UNIV COL
832325626,JERSEY WOMEN PHYSICIAN ALLIANCE INC
832327334,GIRLS GLOBAL NETWORK INC
832328254,MISSIONARY CURRIE FOR WOMEN AND CHILDREN INC
832330737,NERYS PROMISE
832331704,KEEPING ALL WOMEN SAFE
832333748,YOTZER OHR INC BAIS KOCHAV
832334383,ASSOCIATION FOR WOMEN IN SCIENCE SOUTH FLORIDA AWIS FAU
832335343,DAR AL ARAB WOMEN AND KIDS RESOURCE CENTER INC
832340446,ACADEMIC DECENCY LEAGUE INC
832340805,U KNIGHTED KINGDOM HIGLEY GIRLS LACROSSE
832344405,SLIPPERS FOR MOM
832344838,LEAGUE OF AMERICAN WOMEN
832353298,WOMAN EVOLVE INC
832354604,MOTHER MARTHA FAMILY FOUNDATION INC
832354642,HELP TO HEAL NOW
832355050,LOVELY SISTERS OF BOSTON
832358398,MIGHTY OAK MINISTRIES MOM CORPORATION
832360477,MOTHERS RESTORING STRENGTH TAMMY WRIGHT SOLE MBR
832360502,ANNAS MINISTRY FOR WOMEN
832360946,AUTISM WOMEN AND CHILDREN IN HIGH TECH COMMUNITY
832361044,OK CRISIS NURSERY FOUNDATION OKCITY CRISIS NURSERY
832361091,LILY OF THE VALLEY WOMENS CLUB
832361299,RIDE MY ROAD
832363568,GEMS MINISTRIES INCORPORATED
832366143,HOLOCAUST STUDY PROGRAM AND WOMENS SHELTER FUNDING
832371658,PINK TEA CUP INCORPORATED
832371808,RADIATE COALITION
832372326,PURPOSE PRODUCTIONS INC
832373246,UNIVERSITY OF SOUTH CAROLINA WOMEN IN BUSINESS COUNCIL INC
832376968,MAPLE GROVE GIRLS BASKETBALL BOOSTER CLUB
832380668,HOUSE OF COURAGE
832381061,STILLBORN AND INFANT LOSS SUPPORT
832383462,ORPHAN AID
832384558,BEMIDJI EARLY CHILDHOOD COLLABORATIVE
832387767,SEXUAL VIOLENCE PREVENTION ASSOCIATION SVPA INC
832388074,NEW BIRTH PROPHETIC PRAYER MINISTRIES INTERNATIONAL INC
832394451,UNCOMMON WOMAN INC
832394860,CISD EDUCATIONAL SUPPORT GROUPS GRAND OAKS HS GIRLS SOCCER BOOSTER
832401527,SURVIVOR VENTURES
832403226,INTUNE MOTHER SOCIETY
832403933,GIRLS SPARK
832406408,MY DAUGHTERS CAN WE TALK INC
832408027,WOMEN ENTREPRENEUR FACTORY
832410972,OAK CREEK GIRLS YOUTH BASKETBALL CLUB INC
832412272,WOMXNS MARCH DENVER
832412468,PATHWAYS PREGNANCY INC
832412640,MOMENTUM WOMENS CENTER
832412702,SIKH WOMENS ORGANIZATION OF CENTRAL CALIFORNIA INC
832413210,NORMA J ROSS MEMORIAL FOUNDATION
832413420,SOMEONE CARES AFTER ABORTION CARE MINISTRY INC
832417234,SOJOURN WOMEN
832417718,WARRIOR WOMEN UNITED INC
832417793,SMAG PROGRAMS SCIENCE MATH ARTS ATHLETICS GIRLS AND GUYS SMAG
832418896,MOMISTA MOTHERHOOD ADVOCATES INC THE MOMISTA
832418943,INTERNATIONAL WOMENS PRAYER MINISTRY INC
832422717,HICKORY RIDGE ANTIQUE TRACTOR CLUB
832424814,NORTHRIDGE GIRLS BASKETBALL INC
832429164,UNIVERSITY OF ILLINOIS WOMENS FASTPITCH SOFTBALL CLUB
832432563,WOMEN EMPOWERMENT TALK SHOW
832432863,WOOD JOINT NJ INC WOODWORKING SCHOOL
832436423,GIRLS TOWN OR CHADASH INC
832436844,ATHLETE ASSISTANCE FUND INC
832438904,SPRINGFIELD SPARTANS GIRLS SOFTBALL BOOSTER CLUB
832441142,WOMAN OF WORTH
832443779,BENTWORTH YOUTH GIRLS SOFTBALL ASSOCIATION
832446292,CLEVELAND FEMALE EMPOWERMENT ORGANIZATION
832447511,KCI CARES
832449526,RAISE THE BAR INITIATIVE
832451311,NATIONAL CHARITY LEAGUE PIER CHAPTER
832454679,SACHEM EAST GIRLS LACROSSE CLUB INC
832455124,FIRST LOVE YOU WOMENS NETWORK
832455970,PANFILA DOMESTIC VIOLENCE HOPE FOUNDATION
832456538,WOMENS CLUB OF LAKE ARROWHEAD
832458396,LONG ISLAND WOMEN IN TECH INC
832460367,TEXAS COASTAL CATTLEWOMEN
832461180,BUSINESS AND PROFESSIONAL WOMEN OF THE TRIANGLE FOUNDATION
832462054,WOMEN BIRTHING A NATION DOLLY MORRIS GEN PTR
832462372,FEMALE COLLABORATIVE INC
832464309,MIA MUJERES IN ACTION
832464977,KALAMAZOO AREA ANTI HUMAN TRAFFICKING COALITION
832464999,AHS GIRLS BASKETBALL BOOSTERS INC
832465385,TEXAS EXTENSION EDUCATION ASSOCIATION WOMEN ON THE GO EE CLUB
832469782,LLL RESOURCES INC
832471309,ACTION ALLIANCE INTERNATIONAL
832472627,BETHSAIDA HOUSE OF GRACE AND MERCY NEW LIFE FAMILY MINISTRIES
832474263,MOM CREW FOUNDATION INC
832477569,AMERICAS LEADING LADIES ACADEMY INC
832478294,WOMEN OF PASSION INC
832478709,MINISTRY OF THE ARCHANGELS MICHAEL RAPHAEL AND GABRIEL
832480669,WOMEN IN RUGBY INC
832480933,ALTERED MINISTRIES
832489113,STUMPTOWN VBC
832492317,JOSEPH PROJECT INC
832495447,MY GIRL
832496596,A GIFT OF HOPE ADOPTIONS INC A GIFT OF HOPE ADOPTIONS
832497023,BETTER WORLD FUND UNA SOUTHERN NEW JERSEY CHAPTER
832497154,SURVIVING TO THRIVING ATLANTA
832497449,PARENT BOOSTER CLUB INC LAMBERT GIRLS TIP OFF CLUB INC
832498715,PINK WARRIOR ANGELS HILL COUNTRY
832499958,MOTHERLODE VOLLEYBALL CLUB
832503269,ALL GIRLS UNITED INC
832504712,BELLA BREAST CANCER AWARENESS
832506648,REPRESENTING BROWN GIRLS ENTERPRISES RBG ENTERPRISES
832507676,ROSE GARDEN RECOVERY COMMUNITY
832511773,FT VANCOUVER ASSOCIATION OF THE DAUGHTERS OF THE PIONEERS CH 19
832512276,PARTNERSHIP FOR GENDER EQUITY
832513568,ADDISON LADIES CLUB
832517273,KINGDOM BUSINESS WOMEN MINISTRY SCHEWANA LATRICE THOMAS GEN PTR
832521479,STEPS OF FAITH TEAM
832522033,IN HIS HANDS WOMEN SHELTER
832522645,GIRLS CODE LINCOLN
832539471,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION 3 139 TN CHESTUEE CHAPTER
832543438,VIKINGS GIRLS BASKETBALL CLUB ASSOCIATION
832544418,WYOMING BREAST CANCER INITIATIVE FOUNDATION
832548770,ME TOO SPRINGFIELD
832553614,TIME OF NEED CHILDRENS SHELTER INC TIME OF NEED CHILDRENS SHELTER
832558969,GIRL BE FEARLESS
832559201,COMMUNITY ROOTS MIDWIFE COLLECTIVE NON PROFIT
832559532,VOICES OF SHE
832560960,A MOTHERS KEEPER INC
832561974,FAIRY GODMOTHERS INC
832564437,DKOL LA FEMME PROJECT INC
832565094,WOMEN PHOTOGRAPHERS INTERNATIONAL ARCHIVE INC
832568790,STRIVERS INC SCHOLARSHIP FUND
832569067,SERENITY CENTER AZ INC
832569626,OUR GIRLS ROCK INC
832573100,GIRL POWER ON THE MOVE
832573369,CREATIVE MILLION INC
832573491,SEWING WITH A MISSION INC
832574797,MUTABLE STUDIO INC FEMINIST AI
832575056,HIGH TECH HIGH HEELS NORTH TEXAS CHAPTER
832580734,ASSOCIATION FOR COMPUTING MACHINERY LANDER COLLEGE FOR WOMEN ACM STUDEN
832582881,DAUGHTERS OF ESTHER
832584017,KEEP PUSHING GIRL INC
832584296,IOWA GIRLS FOOTBALL ASSOCIATION INC
832584568,SEXUAL ASSAULT SURVIVORS UNITED SASU INCORPORATED
832584738,MILITARY WOMEN ACROSS THE NATION 155 SALT RIVER MILITARY WOMEN UNIT
832591882,EMPOWERED GIRLS
832593530,MVHS GIRLS LACROSSE BOOSTER
832594155,GORDON FOUNDATION
832597969,STITCHED INC
832600501,KRISTINAS HOUSE OF HOPE INC
832601144,REDEEMED MINISTRIES WOMENS TRANSITIONAL HOUSE
832602037,PINK BLUE AND PURPLE VILLAGE HOUSE INCORPORATED
832605372,GURIA US INC
832615056,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC PITTSBURGH MOTHERS OF TWINS TRIPLET
832618899,WOMEN AGAINST TABOO FOUNDATION
832619926,CANDIS GIRLS INC
832622735,DWELL
832624014,ANEDEN GIVES
832625021,LESBIANS OF IOWA
832628158,TEXAS EXTENSION EDUCATION ASSOCIATION VICTORIA LADIES OF DISTINCTION EEA
832633166,UNITED STATES WOMEN CHRISTIAN CHAMBER OF COMMERCE AND SUBSID US HISPANIC WOMEN CHRISTIAN CHAMBER
832633326,LAMB LIFE CHOICES PREGNANCY CENTER INC
832634541,MOTHER DOZIERS HOMELESS FOUNDATION
832634830,4TMRW INC
832637514,PARENTHOOD SUPPORT
832637934,AUSTIN RETIRED OFFICERS WIVES CLUB AROWC ROWC
832641637,GFWC PAST PRESIDENTS CLUB OF THE PALISADES DISTRICT INC
832643892,GIRLS ON THE RUN INTERNATIONAL GIRLS ON THE RUN BAYOU REGION
832645368,EMPOWERME PROJECT
832654722,WELL INC
832657827,WOMENS CLUB LACROSSE AT NC STATE
832660329,A NONPROFIT GROUP ENRICHING LIVES INC ANGEL AID
832661510,POSTPARTUM SUPPORT NETWORK
832665221,ONE BRIDGE TO HOPE INC
832667596,THE VIOLA M CARTER FOUNDATION INCORPORATED
832668568,MOTHER TERESA GENESIS HOME
832669843,GLOBAL NEWBORN SOLUTIONS INC
832674477,COEUR D ALENE LADIES CLUB COEUR D ALENE LADIES WEEKENDER
832675394,DAYA INTERNATIONAL
832676040,PRO LIFE MAN
832676114,WOMEN INSPIRE WOMEN INC
832680301,WOMENS PRAYER CIRCLE
832682616,NORTH CAROLINA AMERICAN COUNCIL ON EDUCATION NETWORK OF WOMEN LEADERS NC ACE NETWORK
832687212,GIRLS MENTOR GIRLS INC
832689131,WOMENS SUFFRAGE NATIONAL MONUMENT FOUNDATION
832690921,ESCUCHAME PROJECT YVETTE
832691022,LOVING ME EMPOWERING GIRLS TO LOVE THEMSELVES UNCONDITIONALLY
832691054,BARDS OF GODDESS FEST CHURCH INC
832693810,GRANDMAS HANDS OUTREACH FOUNDATION INC
832694583,PROJECT GIRLS IN TECHNOLOGY
832694942,SAFE HOUSE FOUNDATION
832695265,NATIONAL HOOK UP OF BLACK WOMEN VOLUSIA COUNTY CHAPTER
832695961,NOELLES LIGHT
832696125,POCONO MOUNTAIN EAST GIRLS BASKETBALL BOOSTER CLUB
832696381,GIRLS GOLF CHARITABLE FOUNDATION
832696836,KB CARES LTD
832697805,CAMP LEHAVA INC
832701455,MAGDALENAS DAUGHTERS
832704082,SENDING FOR THE WOMEN
832707436,LONG BEACH POLY GIRLS WATER POLO BOOSTER CLUB
832709634,FOREST LAKE HIGH SCHOOL SOFTBALL BOOSTER CLUB
832710242,ELLEMENTARY
832716158,SUPPLIES FOR SUCCESS INC
832719863,GIRLS AWAKENING PROJECT
832721269,KNOW YOUR WORTH GIRLS INC
832721337,GLOBAL ADJUSTMENTS FOUNDATION
832724173,SCHOOL GIRLZ YOUTH CLUB
832727323,ABSOLUTELY FLAWLESS WOMEN INC
832728386,PINCKLEY PRIZE MEMORIAL FOUNDATION
832729697,REFRESH MENTORING INC
832730111,PHS GIRLS SOCCER BOOSTERS
832731430,DISTINGUISHED YOUNG WOMEN OF NEVADA SCHOLARSHIP ORGANIZATION INC
832732390,UNLEASHED WOMAN INC
832737081,SECRET WARRIOR WOMEN INC
832738311,NO 1 LADIES ADVOCACY AGENCY
832739619,PTG CENTRAL OHIO
832741372,THRESHOLD THRESHOLD
832744908,A WOMAN OF INFLUENCE
832746312,LADIES OF DISTINCTION INTERNATIONAL INC
832747099,GAY SONS AND MOTHERS INC
832747706,LADIES MEMORIAL ASSOCIATION OF ST AUGUSTINE INC
832747841,SERVING OUR COMMUNITIES ONE WOMAN AT A TIME SOCOWAAT
832750882,SOL BLAZERS LACROSSE INC
832751800,WOMEN ANOINTED TO LEAD IN THE KINGDOM INC WALK
832754592,NORTHERN NEVADA BREASTFEEDING COALITION
832754607,WESTYS PINK LADIES
832755643,FIRST WOMAN AND CHILD
832761848,WOMEN INNOVATING TOGETHER
832763587,NORWELL GIRLS SOFTBALL ASSOCIATION INC
832765792,LADIES AND LUNCH INC
832768786,INTERNATIONAL ASSOCIATION FOR MATERNAL ACTION AND SCHOLARSHIP IN
832769371,HOMESTEAD OF HAPPINESS INC
832769517,KINGDOM BUILDERS GLOBAL WOMENS MINISTRY
832769596,GIRLONWARD
832771474,MAGNOLIA FARM FOUNDATION INC
832772162,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION 8 004 HI KAUAI CHAPTER
832773315,EMPOWERING WOMEN AS LEADERS FORT WORTH
832775158,DIVINE ORDER INC
832778997,CRANBERRY CHAOS FASTPITCH INC
832779445,NEW PHILA GIRLS SOFTBALL
832785728,STANDUP AND VOICE EMPOWERMENT INC SAVE
832788302,INTRODUCING TOMORROW PROVO GIRLS SUMMIT
832789050,UNION OF PRODUCTIVE WOMEN FINANCIAL CLUB
832789772,CPG GIRLS FASTPITCH SOFTBALL
832789888,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC SCV MOMS OF MULTIPLES INC
832796268,MATERNAL COALITION
832800902,FOR GIRLS LIKE YOU MINISTRIES
832803028,TRUST AND BELIEVE CO
832804035,GIRLS WHO AIM INC
832809097,FIERCE FEMALES INC
832811235,BLACK GIRL HEALTH FOUNDATION INC
832815564,DAUGHTERS OF THE KING MENTORING AND COACHING MINISTRIES
832816752,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103000 CENTRAL EAST COAST REGION
832817231,WITAN CORP WITAN
832819006,REFUGEE RISING
832819009,MECP2 DUPLICATION FOUNDATION
832822991,WOMEN AUTHENTIC INC
832827730,TAMPA BAY KREWE WOMENS RUGBY CLUB
832828966,TESSERA ARTS COLLECTIVE
832830765,DISTINGUISHED YOUNG WOMEN OF NEW MEXICO
832834401,LEAGUE OF WOMEN VOTERS FAULKNER COUNTY
832836964,TRUST FOR YOUTH AND CHILD LEADERSHIP TYCL INTERNATIONAL INC
832838595,DEECILLA COMFORT CENTER
832842138,WOMEN REMOVING BARRIERS SANCTUARY INC
832846579,OUR GIRL LINDA
832847617,HRHS GIRLS SWIM AND DIVE BOOSTER CLUB INC HRHS GIRLS SWIM AND DIVE BOOSTER
832848326,GIRLSCONNECT
832849160,WANDA WOMAN FOUNDATION
832854113,RELEVE ONE FOUNDATION INC
832855232,MY SISTERS KEEPERS
832855836,NEXT IT GIRL
832857675,LADIES GIVING LIFE INC
832865134,SHEIS INC NFP
832865572,IT GIRLS FOUNDATION INC
832870123,WOMEN WHO ROCK INC
832871002,THE ABUNDANCE PROJECT
832878770,SUFFRAGE COALITION
832882940,BARDAIE CHARITABLE FOUNDATION
832885302,CINDERELLAS CLOSET SOUTHWEST OHIO
832885416,WOMENS OFF ROAD CYCLING CONGRESS
832888140,AMERICAN WAR MOTHERS OF WHITTIER
832891742,DLO THE STRENGTH OF A WOMAN INC
832893578,MOTHERS IN ARMS
832895264,GRACEFUL WARRIOR PROJECT
832895876,GREEN BAY GLORY INC
832900830,A WOMAN LIKE YOU FOUNDATION OF KENTUCKIANA INC
832902974,PARENT BOOSTER USA INC MMHS GIRLS LAX BOOSTERS INC
832913157,MARSHFIELD GIRLS TRACK AND FIELD BOOSTERS
832915013,COMMISSION ON ELIMINATING HARASSMENT AND ADVANCING EQUALITY
832917524,FRESNEL SHORES FRESNEL HOUSE
832919353,ART FEMINISM INC
832919906,INFORMATION AND DATA ANALYTICS FOUNDATION IDAF
832922591,TRUE BEAUTY DISCOVERY
832925487,PHARMACY COLLECTIVE A COLLABORATIVE OF MINORITY WOMEN IN
832926361,WOMEN OF ESTEEM
832926533,SINGLE MOM CONNECT
832930907,INFINITY VR CONSULTING WOMENS BASKETBALL TOURNAMENT
832933551,PI ALPHA KAPPA SORORITY ASSOCIATION
832944708,AHADI EMPOWERMENT ACADEMY INC
832944931,REDE WOMENS MINISTRY
832947989,LAAL NYC
832953923,OUR DAUGHTERS HOUSE INC
832956068,MISCARRIAGE MOMS FOR LIFE
832959043,WOMEN OF OBEDIENCE RESPECT TRUTH AND HONOR
832961478,WOMEN OF PURPOSE IN CHRIST
832963005,REPRODUCTIVE EQUITY ARIZONA
832967192,LA LECHE LEAGUE OF THE UNITED STATES OF AMERICA LLL CONNECTING LEADERS ACROSS BORDE
832967268,WOMEN IN FACILITY MANAGEMENT
832967768,TRILL MOTHERHOOD COLLECTIVE
832970353,GIRLS WITH SCARS INC
832973222,A MOTHERS CARE
832975564,I INSPIRE BEAUTY FOUNDATION
832981238,OXFORD INITIATIVE FOR GLOBAL ETHICS AND HUMAN RIGHTS OXFORD GLOBAL SEMINARS
832983237,TRUTH COLLECTIVE
832993042,SOBER WOMEN ASSISTANCE PROGRAM INC SWAP
832994443,THREE BLOSSOMS MINISTRY
832998862,WENATCHEE RIGHT TO LIFE
832999820,WOMEN IN SPORTS AND EVENTS DALLAS INC WISE DALLAS
833001018,EMPOWERING FEARLESS BIRTH FOUNDATION
833003913,INTERNATIONAL LEAGUE OF MUSLIM WOMEN INC
833008205,CRISIS NURSERY OF CHARLESTON
833008929,CAY GALGON LIFE HOUSE
833009340,TEAM ANDREA
833009901,IRANIAN FEMALE COMPOSERS ASSOCIATION IFCA
833010725,WOMEN IN REVENUE
833012677,TROUTMAN CENTER FOR INFANTS AND MOTHERS INC HOME FOR INFANTS AND MOTHERS
833013031,FOLDS OF HONOR FOUNDATION FOLDS OF HONOR EASTERN NORTH CAROLI
833017120,FOUR10 MINISTRIES
833017122,DAISY GIRLS RESCUE
833019388,UNITY QUEENS INC
833020161,WOMEN OF THE NOW FILM
833028363,RM CANNON ENTERPRISES
833034173,GIRL POWER HOUR SAN ANTONIO
833036341,CRAZY PEAK CATTLE WOMEN INC
833037543,WOMENS FORUM ANDREA SUE BOETTGER MBR
833038184,FAITH CHAPTER 7
833044990,WOMENS FIRE LEAGUE
833045233,EDIFYING WOMEN ETERNALLY INC EWE
833046227,GENERATION SHE
833047735,GISTEM GIRLS IMPACTING SCIENCE TECHNOLOGY ENGINEERING MATHEMATICS
833052179,MAKER GIRLS BY DESIGN
833052347,HOPE STREET
833054835,HER NEXT PLAY
833058554,BENEFIT PARTNERS FOUNDATION
833062163,PAYKE GIRLS TEAM INC
833063239,CHICAGO BLACK WOMEN IN TECH NFP
833063966,GIRLS ARISE UGANDA INC
833065671,LOTUS NETWORK FKA INTL
833067238,JUST US GIRLS SUPPORT JUGS
833072572,RECLAIM LIFE INC
833074524,WOMEN FOR RUGBY INC
833076355,DIGITAL WOMEN KANSAS CITY
833096726,IMPACT CENTRAL ILLINOIS
833096741,WOMEN FIRST
833105745,MINORITY AND WOMEN CONTRACTORS AND DEVELOPERS ASSOCIATION INC
833108305,BLACK GIRL IN REAL ESTATE
833110697,COMPASSIONATE WOMEN MINISTRIES INC
833110969,SYOSSET GIRLS LACROSSE BOOSTER CLUB INC
833111057,GLOUCESTER CITY GIRLS SOFTBALL
833112757,EAST COAST DIRTY GIRLS OFF ROAD CLUB
833114497,SHENANDOAH PREGNANCY AND RESOURCE CENTER
833117461,LA LECHE LEAGUE OF THE UNITED STATES OF AMERICA LLL STEAMBOAT SPRINGS
833119876,GLOBAL FEDERATION OF CHINESE BUSINESS WOMEN GREATER LOS ANGEL GFCBW GLA
833125631,GINA INTERNATIONAL TRAVEL ORGANIZATION
833131635,GIRL OF HOPE INC GIRL OF HOPE
833132206,WOMEN OF WOUNDS INC
833132642,SOURCE FOR WOMEN
833133971,WOMEN N POWER CRISIS INTERVENTION CENTER INC
833133974,WOMANREDISCOVERED
833134347,OHIO WOMEN VETERANS FOUNDATION INC
833145375,PARENT BOOSTER USA INC GLITTER GIRLS BOOSTER CLUB INC
833150424,WOMEN IN WATER SCHOLARSHIP FUND
833151231,WAY OUT WOMEN INC
833151463,ALLIANCE FOR PERIOD SUPPLIES OF SWFL
833155678,IDAHO FEMALE VETERANS NETWORK
833158220,PARENT BOOSTER USA INC AMARILLO HS GIRLS GOLF BOOSTER CLUB
833159004,GATHERING WHEN WOMEN GATHER WHEN WOMEN WORSHIP THE GATHERING
833160175,SAN DIEGO COMMUNITY BIRTH CENTER
833162255,SEEDS OF LOVE A LULUS FOUNDATION
833171217,JUST A BREAST
833173242,ACE WOMENS NETWORK OHIO
833183718,CLINTON GIRLS SOFTBALL ASSOCIATION INC
833184828,DOMINICAN SISTERS OF VIETNAM
833188907,SASO GIRLS SAN ANTONIO SASO GIRLS
833189194,LOVING WOMEN OF WORTH
833196850,HERE AND NOW MOTHERHOOD
833197075,SPARSH GLOBAL INC
833199612,CITRUS VALLEY HIGH SCHOOL GIRLS SOCCER BOOSTERS
833205849,PROJECT MARILYN
833208246,YOUNG EMPOWERED WOMEN ENTERPRISES
833209067,PVHS GIRLS BB BOOSTER CLUB
833210412,LESLIN HEALTHCARE LEADERSHIP FOUNDATION INC TLHLF
833211254,COLTON AREA PINK LADIES
833211563,FAITHFUL FEW MINISTRIES
833212359,A WIFE LIKE ME INC
833212487,WEST ORANGE GIRLS HIGH SCHOOL LACROSSE INC
833212884,LEWIS SIMMONS FOUNDATION
833218663,LAMBDA SIGMA SIGMA LUPUS SORORITY INC
833218683,GIRLS HEALTH PERIOD BRITTANI Y GRAY SOLE MBR
833221665,FIRST GEN SUCCESS
833221701,BIRTH IN COLOR RVA FOUNDATION
833223308,OREGON ONLY HOUSE
833224234,DISABILITY AS AN ABILITY TOWARD SUCCESS MOMS ON THE MOVE DATS MOM
833224994,THROUGH THE OPEN DOOR ASSOCIATION INC
833229836,METHODIST GIRLS SECONDARY SCHOOL OVIM GLOBAL ALUMNI ASSOCIATION
833233843,XTREME GIRLS INC XTREME GIRLS
833241252,SOUTHERN ROOTS SISTAH CENTER INC
833241319,AMBITIOUS GIRLS AND LEADERS GALS
833246806,NO LONGER BOUND ABORTION AND MISCARRIAGE RECOVERY MINISTRY INC
833254776,GRANTED BREAST CANCER SUPPORT
833257911,OFF RAMP
833260100,HOPE HOUSE TRANSITIONAL LIVING CORP
833265127,JANES ROOM
833268422,DAUGHTERS PLACE INC
833269721,PINK WARRIOR HOUSE FOUNDATION
833272073,100 WOMEN WHO GIVE A DAMN MID VALLEY
833283646,LADIES WHO PAINT INC
833291627,INNER LIGHT MIDWIFERY INC INNER LIGHT MIDWIFERY
833292081,TOTALLY WOMAN ANOINTED BY GOD
833297437,FEARLESS GIRLZ INC
833297698,DISTINGUISHED YOUTH LADIES ASSOCIATION INC
833301621,MOTHER FELICIA ORPHANAGE AND ELDERLY HOME
833302438,GRESHAM GIRLS YOUTH BASKETBALL
833307444,PROFESSIONAL WOMENS EXCHANGE GROUP OF HOUSTON INC
833307979,WOMEN THRIVING INC
833308428,HORTONVILLE HIGH SCHOOL GIRLS SOCCER BOOSTER CLUB
833312592,MOTHER AND DAUGHTER EXPERIENCE
833313612,WOMEN PHOTOGRAPH
833315746,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION
833317375,HOUSE OF HOPE WOMENS CENTER
833318738,A BRAND NEW MOTHERS DAY
833321992,WOMEN OF WISDOM ORGANIZATION INC
833323025,GIRLS TALK 101 INC
833323975,GIRLS EMPOWERED AND MOTIVATED INC A NOT FOR PROFIT CORPORATION
833324181,ROSE SOCIETY
833326665,GIFT OF PARENTHOOD INC
833329427,STRENGTH AND DIGNITY LIFE INC
833338282,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC SOROPTIMIST INTERNATIONAL OF GREAT
833338761,BROWN GIRLS MENTORING INC
833339079,MOTHER BEAR SANCTUARY
833341102,OAK COTTAGE FOR WOMEN INC
833344105,YES GIRLS CREATE INC
833344724,WOMEN ENTREPRENEURS WITH A PURPOSE
833352547,WIVES OF THE BLUE LINE
833352704,THOMASVILLE THOMAS COUNTY FATHER DAUGHTER DANCE INC
833356902,NOT YOUR MOM INC
833360372,LA LECHE LEAGUE OF THE UNITED STATES OF AMERICA LLL HARRISBURG AREA
833360957,LADIES RULE
833363005,STOP TRAFFIC KENTUCKY INC
833365132,ROAD TO 120 EDUCATION EQUITY FOR YOUNG WOMEN INC
833367514,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC BLAINE GIRLS YOUTH BASKETBALL
833368061,XYZ WOMEN INC
833369631,WIN LIKE A GIRL INC
833371927,LUO WOMEN IN THE UNITED STATES
833376100,FASHIONEER ORG
833377056,TIFFANY BLACKWELL MINISTRIES INC
833379407,A SAFE SPACE OF ST CHARLES
833382935,LTC
833387684,MATERNAL AFRICAN HEALTH INC MATERNAL AFRICAN HEALTH
833397368,RESEARCH A CURE NFP
833399603,WOMEN IKON
833400326,FLAW FIGHT LIKE A WOMAN
833403851,DIVINITY HOUSE
833408272,GRANDMA SPEAK INC
833408898,BET ON VETS FOUNDATION INC
833413002,NATIONAL CHARITY LEAGUE INC COASTSIDE CHAPTER
833416286,INTENSITY ELITE GIRLS BASKETBALL TEAM INC
833416917,PRO LIFE MAVERICKS
833420976,LIFE INN HIS IMAGE
